explanations,datasets,attributed_fns,methods,reversed,Value
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.3333333333333333
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.25
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,0.5
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,0.5
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.25
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.2
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.16666666666666666
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.25
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.25
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.25
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.25
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.25
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.3333333333333333
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,0.25
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.3333333333333333
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,0.5
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,0.3333333333333333
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.5
occlusion,npi,logit,cont_rnd,original,0.5
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.3333333333333333
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,0.3333333333333333
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,0.25
occlusion,npi,logit,baseline,reversed,1.0
occlusion,npi,logit,contrastive,original,1.0
occlusion,npi,logit,contrastive,reversed,0.25
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.25
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.3333333333333333
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.5
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.5
occlusion,npi,logit,baseline,original,0.5
occlusion,npi,logit,baseline,reversed,0.5
occlusion,npi,logit,contrastive,original,0.3333333333333333
occlusion,npi,logit,contrastive,reversed,1.0
occlusion,npi,logit,cont_rnd,original,1.0
occlusion,npi,logit,cont_rnd,reversed,0.3333333333333333
occlusion,npi,logit,baseline,original,1.0
occlusion,npi,logit,baseline,reversed,0.5
